,1,2,3
0,1.0,1.0,1.0
1,1.2422752380371094,1.2647484540939329,1.291101098060608
2,1.7763748168945312,1.736431121826172,1.8141731023788448
3,3.0,3.0,3.0
4,1.6305627822875977,1.6507729291915894,1.7350773811340332
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,0.2,0.2,0.2
9,0.2,0.2,0.2
10,9.0,1.0,3.0
